 1_AMB_TEMP, 2_AMB_TEMP, 3_AMB_TEMP, 4_AMB_TEMP, 5_AMB_TEMP, 6_AMB_TEMP, 7_AMB_TEMP, 8_AMB_TEMP, 9_AMB_TEMP, 1_CH4, 2_CH4, 3_CH4, 4_CH4, 5_CH4, 6_CH4, 7_CH4, 8_CH4, 9_CH4, 1_CO, 2_CO, 3_CO, 4_CO, 5_CO, 6_CO, 7_CO, 8_CO, 9_CO, 1_NMHC, 2_NMHC, 3_NMHC, 4_NMHC, 5_NMHC, 6_NMHC, 7_NMHC, 8_NMHC, 9_NMHC, 1_NO, 2_NO, 3_NO, 4_NO, 5_NO, 6_NO, 7_NO, 8_NO, 9_NO, 1_NO2, 2_NO2, 3_NO2, 4_NO2, 5_NO2, 6_NO2, 7_NO2, 8_NO2, 9_NO2, 1_NOx, 2_NOx, 3_NOx, 4_NOx, 5_NOx, 6_NOx, 7_NOx, 8_NOx, 9_NOx, 1_O3, 2_O3, 3_O3, 4_O3, 5_O3, 6_O3, 7_O3, 8_O3, 9_O3, 1_PM10, 2_PM10, 3_PM10, 4_PM10, 5_PM10, 6_PM10, 7_PM10, 8_PM10, 9_PM10, 1_PM2.5, 2_PM2.5, 3_PM2.5, 4_PM2.5, 5_PM2.5, 6_PM2.5, 7_PM2.5, 8_PM2.5, 9_PM2.5, 1_RAINFALL, 2_RAINFALL, 3_RAINFALL, 4_RAINFALL, 5_RAINFALL, 6_RAINFALL, 7_RAINFALL, 8_RAINFALL, 9_RAINFALL, 1_RH, 2_RH, 3_RH, 4_RH, 5_RH, 6_RH, 7_RH, 8_RH, 9_RH, 1_SO2, 2_SO2, 3_SO2, 4_SO2, 5_SO2, 6_SO2, 7_SO2, 8_SO2, 9_SO2, 1_THC, 2_THC, 3_THC, 4_THC, 5_THC, 6_THC, 7_THC, 8_THC, 9_THC, 1_WD_HR, 2_WD_HR, 3_WD_HR, 4_WD_HR, 5_WD_HR, 6_WD_HR, 7_WD_HR, 8_WD_HR, 9_WD_HR, 1_WIND_DIREC, 2_WIND_DIREC, 3_WIND_DIREC, 4_WIND_DIREC, 5_WIND_DIREC, 6_WIND_DIREC, 7_WIND_DIREC, 8_WIND_DIREC, 9_WIND_DIREC, 1_WIND_SPEED, 2_WIND_SPEED, 3_WIND_SPEED, 4_WIND_SPEED, 5_WIND_SPEED, 6_WIND_SPEED, 7_WIND_SPEED, 8_WIND_SPEED, 9_WIND_SPEED, 1_WS_HR, 2_WS_HR, 3_WS_HR, 4_WS_HR, 5_WS_HR, 6_WS_HR, 7_WS_HR, 8_WS_HR, 9_WS_HR,10_PM2.5
19.0,18.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,0.23,0.25,0.27,0.28,0.26,0.26,0.27,0.27,0.28,0.06,0.06,0.07,0.08,0.06,0.06,0.05,0.05,0.05,1.6,1.6,1.5,1.4,1.1,1.1,1.2,1.1,1.3,6.9,8.8,9.9,9.7,8.0,7.4,6.6,6.6,5.6,8.5,10.0,11.0,11.0,9.1,8.5,7.8,7.7,6.9,43.0,35.0,30.0,29.0,32.0,32.0,32.0,31.0,31.0,32.0,41.0,32.0,34.0,30.0,34.0,31.0,18.0,19.0,24.0,25.0,14.0,16.0,22.0,23.0,18.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,71.0,78.0,81.0,81.0,80.0,81.0,81.0,80.0,0.8,0.7,0.5,0.2,0.2,0.1,-0.1,-0.1,-0.2,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,113.0,117.0,106.0,169.0,124.0,84.0,93.0,78.0,58.0,96.0,115.0,87.0,181.0,170.0,169.0,98.0,72.0,27.0,3.9,2.9,3.0,2.8,1.7,2.3,2.2,2.1,1.5,0.7,1.0,0.7,0.1,0.5,0.3,1.0,0.8,1.2,10.0
18.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,0.25,0.27,0.28,0.26,0.26,0.27,0.27,0.28,0.27,0.06,0.07,0.08,0.06,0.06,0.05,0.05,0.05,0.06,1.6,1.5,1.4,1.1,1.1,1.2,1.1,1.3,1.1,8.8,9.9,9.7,8.0,7.4,6.6,6.6,5.6,5.4,10.0,11.0,11.0,9.1,8.5,7.8,7.7,6.9,6.5,35.0,30.0,29.0,32.0,32.0,32.0,31.0,31.0,31.0,41.0,32.0,34.0,30.0,34.0,31.0,18.0,19.0,13.0,25.0,14.0,16.0,22.0,23.0,18.0,6.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,78.0,81.0,81.0,80.0,81.0,81.0,80.0,81.0,0.7,0.5,0.2,0.2,0.1,-0.1,-0.1,-0.2,-0.3,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,117.0,106.0,169.0,124.0,84.0,93.0,78.0,58.0,30.0,115.0,87.0,181.0,170.0,169.0,98.0,72.0,27.0,350.0,2.9,3.0,2.8,1.7,2.3,2.2,2.1,1.5,1.4,1.0,0.7,0.1,0.5,0.3,1.0,0.8,1.2,0.3,10.0
16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,0.27,0.28,0.26,0.26,0.27,0.27,0.28,0.27,0.27,0.07,0.08,0.06,0.06,0.05,0.05,0.05,0.06,0.06,1.5,1.4,1.1,1.1,1.2,1.1,1.3,1.1,0.9,9.9,9.7,8.0,7.4,6.6,6.6,5.6,5.4,5.1,11.0,11.0,9.1,8.5,7.8,7.7,6.9,6.5,6.0,30.0,29.0,32.0,32.0,32.0,31.0,31.0,31.0,31.0,32.0,34.0,30.0,34.0,31.0,18.0,19.0,13.0,17.0,14.0,16.0,22.0,23.0,18.0,6.0,9.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,81.0,81.0,80.0,81.0,81.0,80.0,81.0,81.0,0.5,0.2,0.2,0.1,-0.1,-0.1,-0.2,-0.3,1.2,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,106.0,169.0,124.0,84.0,93.0,78.0,58.0,30.0,352.0,87.0,181.0,170.0,169.0,98.0,72.0,27.0,350.0,35.0,3.0,2.8,1.7,2.3,2.2,2.1,1.5,1.4,1.8,0.7,0.1,0.5,0.3,1.0,0.8,1.2,0.3,0.2,10.0
15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,0.28,0.26,0.26,0.27,0.27,0.28,0.27,0.27,0.26,0.08,0.06,0.06,0.05,0.05,0.05,0.06,0.06,0.04,1.4,1.1,1.1,1.2,1.1,1.3,1.1,0.9,1.0,9.7,8.0,7.4,6.6,6.6,5.6,5.4,5.1,5.0,11.0,9.1,8.5,7.8,7.7,6.9,6.5,6.0,6.0,29.0,32.0,32.0,32.0,31.0,31.0,31.0,31.0,32.0,34.0,30.0,34.0,31.0,18.0,19.0,13.0,17.0,20.0,16.0,22.0,23.0,18.0,6.0,9.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,81.0,80.0,81.0,81.0,80.0,81.0,81.0,83.0,0.2,0.2,0.1,-0.1,-0.1,-0.2,-0.3,1.2,1.0,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,169.0,124.0,84.0,93.0,78.0,58.0,30.0,352.0,93.0,181.0,170.0,169.0,98.0,72.0,27.0,350.0,35.0,92.0,2.8,1.7,2.3,2.2,2.1,1.5,1.4,1.8,2.9,0.1,0.5,0.3,1.0,0.8,1.2,0.3,0.2,0.7,13.0
15.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.8,0.26,0.26,0.27,0.27,0.28,0.27,0.27,0.26,0.27,0.06,0.06,0.05,0.05,0.05,0.06,0.06,0.04,0.04,1.1,1.1,1.2,1.1,1.3,1.1,0.9,1.0,0.8,8.0,7.4,6.6,6.6,5.6,5.4,5.1,5.0,3.6,9.1,8.5,7.8,7.7,6.9,6.5,6.0,6.0,4.4,32.0,32.0,32.0,31.0,31.0,31.0,31.0,32.0,32.0,30.0,34.0,31.0,18.0,19.0,13.0,17.0,20.0,34.0,22.0,23.0,18.0,6.0,9.0,10.0,10.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,80.0,81.0,81.0,80.0,81.0,81.0,83.0,83.0,0.2,0.1,-0.1,-0.1,-0.2,-0.3,1.2,1.0,0.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,124.0,84.0,93.0,78.0,58.0,30.0,352.0,93.0,85.0,170.0,169.0,98.0,72.0,27.0,350.0,35.0,92.0,78.0,1.7,2.3,2.2,2.1,1.5,1.4,1.8,2.9,1.6,0.5,0.3,1.0,0.8,1.2,0.3,0.2,0.7,0.6,18.0
15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.8,0.26,0.27,0.27,0.28,0.27,0.27,0.26,0.27,0.3,0.06,0.05,0.05,0.05,0.06,0.06,0.04,0.04,0.05,1.1,1.2,1.1,1.3,1.1,0.9,1.0,0.8,0.5,7.4,6.6,6.6,5.6,5.4,5.1,5.0,3.6,3.9,8.5,7.8,7.7,6.9,6.5,6.0,6.0,4.4,4.3,32.0,32.0,31.0,31.0,31.0,31.0,32.0,32.0,33.0,34.0,31.0,18.0,19.0,13.0,17.0,20.0,34.0,38.0,23.0,18.0,6.0,9.0,10.0,10.0,10.0,13.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,81.0,81.0,80.0,81.0,81.0,83.0,83.0,82.0,0.1,-0.1,-0.1,-0.2,-0.3,1.2,1.0,0.9,0.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,84.0,93.0,78.0,58.0,30.0,352.0,93.0,85.0,72.0,169.0,98.0,72.0,27.0,350.0,35.0,92.0,78.0,73.0,2.3,2.2,2.1,1.5,1.4,1.8,2.9,1.6,2.1,0.3,1.0,0.8,1.2,0.3,0.2,0.7,0.6,0.4,16.0
15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,0.27,0.27,0.28,0.27,0.27,0.26,0.27,0.3,0.3,0.05,0.05,0.05,0.06,0.06,0.04,0.04,0.05,0.05,1.2,1.1,1.3,1.1,0.9,1.0,0.8,0.5,0.8,6.6,6.6,5.6,5.4,5.1,5.0,3.6,3.9,3.9,7.8,7.7,6.9,6.5,6.0,6.0,4.4,4.3,4.6,32.0,31.0,31.0,31.0,31.0,32.0,32.0,33.0,32.0,31.0,18.0,19.0,13.0,17.0,20.0,34.0,38.0,33.0,18.0,6.0,9.0,10.0,10.0,10.0,13.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,81.0,80.0,81.0,81.0,83.0,83.0,82.0,81.0,-0.1,-0.1,-0.2,-0.3,1.2,1.0,0.9,0.9,0.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,93.0,78.0,58.0,30.0,352.0,93.0,85.0,72.0,74.0,98.0,72.0,27.0,350.0,35.0,92.0,78.0,73.0,66.0,2.2,2.1,1.5,1.4,1.8,2.9,1.6,2.1,2.6,1.0,0.8,1.2,0.3,0.2,0.7,0.6,0.4,1.0,7.0
15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,13.0,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,0.27,0.28,0.27,0.27,0.26,0.27,0.3,0.3,0.33,0.05,0.05,0.06,0.06,0.04,0.04,0.05,0.05,0.07,1.1,1.3,1.1,0.9,1.0,0.8,0.5,0.8,0.5,6.6,5.6,5.4,5.1,5.0,3.6,3.9,3.9,5.6,7.7,6.9,6.5,6.0,6.0,4.4,4.3,4.6,6.0,31.0,31.0,31.0,31.0,32.0,32.0,33.0,32.0,30.0,18.0,19.0,13.0,17.0,20.0,34.0,38.0,33.0,25.0,6.0,9.0,10.0,10.0,10.0,13.0,18.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,80.0,81.0,81.0,83.0,83.0,82.0,81.0,81.0,-0.1,-0.2,-0.3,1.2,1.0,0.9,0.9,0.8,0.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,78.0,58.0,30.0,352.0,93.0,85.0,72.0,74.0,69.0,72.0,27.0,350.0,35.0,92.0,78.0,73.0,66.0,69.0,2.1,1.5,1.4,1.8,2.9,1.6,2.1,2.6,1.6,0.8,1.2,0.3,0.2,0.7,0.6,0.4,1.0,0.4,5.0
15.0,15.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,0.28,0.27,0.27,0.26,0.27,0.3,0.3,0.33,0.43,0.05,0.06,0.06,0.04,0.04,0.05,0.05,0.07,0.1,1.3,1.1,0.9,1.0,0.8,0.5,0.8,0.5,0.9,5.6,5.4,5.1,5.0,3.6,3.9,3.9,5.6,8.0,6.9,6.5,6.0,6.0,4.4,4.3,4.6,6.0,8.9,31.0,31.0,31.0,32.0,32.0,33.0,32.0,30.0,28.0,19.0,13.0,17.0,20.0,34.0,38.0,33.0,25.0,25.0,9.0,10.0,10.0,10.0,13.0,18.0,16.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,81.0,81.0,83.0,83.0,82.0,81.0,81.0,82.0,-0.2,-0.3,1.2,1.0,0.9,0.9,0.8,0.8,0.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,58.0,30.0,352.0,93.0,85.0,72.0,74.0,69.0,82.0,27.0,350.0,35.0,92.0,78.0,73.0,66.0,69.0,88.0,1.5,1.4,1.8,2.9,1.6,2.1,2.6,1.6,2.5,1.2,0.3,0.2,0.7,0.6,0.4,1.0,0.4,0.5,2.0
15.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0,14.0,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,0.27,0.27,0.26,0.27,0.3,0.3,0.33,0.43,0.39,0.06,0.06,0.04,0.04,0.05,0.05,0.07,0.1,0.08,1.1,0.9,1.0,0.8,0.5,0.8,0.5,0.9,1.2,5.4,5.1,5.0,3.6,3.9,3.9,5.6,8.0,7.5,6.5,6.0,6.0,4.4,4.3,4.6,6.0,8.9,8.7,31.0,31.0,32.0,32.0,33.0,32.0,30.0,28.0,30.0,13.0,17.0,20.0,34.0,38.0,33.0,25.0,25.0,26.0,10.0,10.0,10.0,13.0,18.0,16.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,81.0,83.0,83.0,82.0,81.0,81.0,82.0,79.0,-0.3,1.2,1.0,0.9,0.9,0.8,0.8,0.9,0.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,30.0,352.0,93.0,85.0,72.0,74.0,69.0,82.0,76.0,350.0,35.0,92.0,78.0,73.0,66.0,69.0,88.0,67.0,1.4,1.8,2.9,1.6,2.1,2.6,1.6,2.5,2.3,0.3,0.2,0.7,0.6,0.4,1.0,0.4,0.5,1.1,11.0
14.0,14.0,14.0,14.0,14.0,13.0,13.0,14.0,15.0,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,0.27,0.26,0.27,0.3,0.3,0.33,0.43,0.39,0.37,0.06,0.04,0.04,0.05,0.05,0.07,0.1,0.08,0.12,0.9,1.0,0.8,0.5,0.8,0.5,0.9,1.2,1.6,5.1,5.0,3.6,3.9,3.9,5.6,8.0,7.5,5.8,6.0,6.0,4.4,4.3,4.6,6.0,8.9,8.7,7.4,31.0,32.0,32.0,33.0,32.0,30.0,28.0,30.0,32.0,17.0,20.0,34.0,38.0,33.0,25.0,25.0,26.0,25.0,10.0,10.0,13.0,18.0,16.0,7.0,5.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,83.0,83.0,82.0,81.0,81.0,82.0,79.0,74.0,1.2,1.0,0.9,0.9,0.8,0.8,0.9,0.9,1.0,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,352.0,93.0,85.0,72.0,74.0,69.0,82.0,76.0,75.0,35.0,92.0,78.0,73.0,66.0,69.0,88.0,67.0,106.0,1.8,2.9,1.6,2.1,2.6,1.6,2.5,2.3,2.5,0.2,0.7,0.6,0.4,1.0,0.4,0.5,1.1,0.3,8.0
14.0,14.0,14.0,14.0,13.0,13.0,14.0,15.0,16.0,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,0.26,0.27,0.3,0.3,0.33,0.43,0.39,0.37,0.38,0.04,0.04,0.05,0.05,0.07,0.1,0.08,0.12,0.11,1.0,0.8,0.5,0.8,0.5,0.9,1.2,1.6,2.3,5.0,3.6,3.9,3.9,5.6,8.0,7.5,5.8,6.9,6.0,4.4,4.3,4.6,6.0,8.9,8.7,7.4,9.2,32.0,32.0,33.0,32.0,30.0,28.0,30.0,32.0,33.0,20.0,34.0,38.0,33.0,25.0,25.0,26.0,25.0,30.0,10.0,13.0,18.0,16.0,7.0,5.0,2.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,83.0,82.0,81.0,81.0,82.0,79.0,74.0,70.0,1.0,0.9,0.9,0.8,0.8,0.9,0.9,1.0,1.2,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,93.0,85.0,72.0,74.0,69.0,82.0,76.0,75.0,74.0,92.0,78.0,73.0,66.0,69.0,88.0,67.0,106.0,199.0,2.9,1.6,2.1,2.6,1.6,2.5,2.3,2.5,3.3,0.7,0.6,0.4,1.0,0.4,0.5,1.1,0.3,0.7,21.0
14.0,14.0,14.0,13.0,13.0,14.0,15.0,16.0,17.0,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,0.27,0.3,0.3,0.33,0.43,0.39,0.37,0.38,0.38,0.04,0.05,0.05,0.07,0.1,0.08,0.12,0.11,0.1,0.8,0.5,0.8,0.5,0.9,1.2,1.6,2.3,2.9,3.6,3.9,3.9,5.6,8.0,7.5,5.8,6.9,7.9,4.4,4.3,4.6,6.0,8.9,8.7,7.4,9.2,11.0,32.0,33.0,32.0,30.0,28.0,30.0,32.0,33.0,35.0,34.0,38.0,33.0,25.0,25.0,26.0,25.0,30.0,25.0,13.0,18.0,16.0,7.0,5.0,2.0,11.0,8.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,82.0,81.0,81.0,82.0,79.0,74.0,70.0,67.0,0.9,0.9,0.8,0.8,0.9,0.9,1.0,1.2,1.2,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,85.0,72.0,74.0,69.0,82.0,76.0,75.0,74.0,68.0,78.0,73.0,66.0,69.0,88.0,67.0,106.0,199.0,353.0,1.6,2.1,2.6,1.6,2.5,2.3,2.5,3.3,3.1,0.6,0.4,1.0,0.4,0.5,1.1,0.3,0.7,0.7,17.0
14.0,14.0,13.0,13.0,14.0,15.0,16.0,17.0,18.0,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,0.3,0.3,0.33,0.43,0.39,0.37,0.38,0.38,0.4,0.05,0.05,0.07,0.1,0.08,0.12,0.11,0.1,0.13,0.5,0.8,0.5,0.9,1.2,1.6,2.3,2.9,2.9,3.9,3.9,5.6,8.0,7.5,5.8,6.9,7.9,8.9,4.3,4.6,6.0,8.9,8.7,7.4,9.2,11.0,12.0,33.0,32.0,30.0,28.0,30.0,32.0,33.0,35.0,40.0,38.0,33.0,25.0,25.0,26.0,25.0,30.0,25.0,33.0,18.0,16.0,7.0,5.0,2.0,11.0,8.0,21.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,81.0,81.0,82.0,79.0,74.0,70.0,67.0,63.0,0.9,0.8,0.8,0.9,0.9,1.0,1.2,1.2,1.6,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,72.0,74.0,69.0,82.0,76.0,75.0,74.0,68.0,97.0,73.0,66.0,69.0,88.0,67.0,106.0,199.0,353.0,92.0,2.1,2.6,1.6,2.5,2.3,2.5,3.3,3.1,3.5,0.4,1.0,0.4,0.5,1.1,0.3,0.7,0.7,0.7,23.0
14.0,13.0,13.0,14.0,15.0,16.0,17.0,18.0,18.0,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,0.3,0.33,0.43,0.39,0.37,0.38,0.38,0.4,0.37,0.05,0.07,0.1,0.08,0.12,0.11,0.1,0.13,0.15,0.8,0.5,0.9,1.2,1.6,2.3,2.9,2.9,2.5,3.9,5.6,8.0,7.5,5.8,6.9,7.9,8.9,9.1,4.6,6.0,8.9,8.7,7.4,9.2,11.0,12.0,12.0,32.0,30.0,28.0,30.0,32.0,33.0,35.0,40.0,41.0,33.0,25.0,25.0,26.0,25.0,30.0,25.0,33.0,35.0,16.0,7.0,5.0,2.0,11.0,8.0,21.0,17.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,81.0,82.0,79.0,74.0,70.0,67.0,63.0,62.0,0.8,0.8,0.9,0.9,1.0,1.2,1.2,1.6,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,74.0,69.0,82.0,76.0,75.0,74.0,68.0,97.0,104.0,66.0,69.0,88.0,67.0,106.0,199.0,353.0,92.0,189.0,2.6,1.6,2.5,2.3,2.5,3.3,3.1,3.5,3.0,1.0,0.4,0.5,1.1,0.3,0.7,0.7,0.7,0.4,18.0
13.0,13.0,14.0,15.0,16.0,17.0,18.0,18.0,17.0,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,0.33,0.43,0.39,0.37,0.38,0.38,0.4,0.37,0.35,0.07,0.1,0.08,0.12,0.11,0.1,0.13,0.15,0.13,0.5,0.9,1.2,1.6,2.3,2.9,2.9,2.5,1.9,5.6,8.0,7.5,5.8,6.9,7.9,8.9,9.1,9.0,6.0,8.9,8.7,7.4,9.2,11.0,12.0,12.0,11.0,30.0,28.0,30.0,32.0,33.0,35.0,40.0,41.0,39.0,25.0,25.0,26.0,25.0,30.0,25.0,33.0,35.0,53.0,7.0,5.0,2.0,11.0,8.0,21.0,17.0,23.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,82.0,79.0,74.0,70.0,67.0,63.0,62.0,65.0,0.8,0.9,0.9,1.0,1.2,1.2,1.6,1.8,1.5,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,69.0,82.0,76.0,75.0,74.0,68.0,97.0,104.0,91.0,69.0,88.0,67.0,106.0,199.0,353.0,92.0,189.0,88.0,1.6,2.5,2.3,2.5,3.3,3.1,3.5,3.0,3.0,0.4,0.5,1.1,0.3,0.7,0.7,0.7,0.4,1.0,29.0
13.0,14.0,15.0,16.0,17.0,18.0,18.0,17.0,15.0,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,0.43,0.39,0.37,0.38,0.38,0.4,0.37,0.35,0.32,0.1,0.08,0.12,0.11,0.1,0.13,0.15,0.13,0.1,0.9,1.2,1.6,2.3,2.9,2.9,2.5,1.9,1.8,8.0,7.5,5.8,6.9,7.9,8.9,9.1,9.0,8.9,8.9,8.7,7.4,9.2,11.0,12.0,12.0,11.0,11.0,28.0,30.0,32.0,33.0,35.0,40.0,41.0,39.0,38.0,25.0,26.0,25.0,30.0,25.0,33.0,35.0,53.0,56.0,5.0,2.0,11.0,8.0,21.0,17.0,23.0,18.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,79.0,74.0,70.0,67.0,63.0,62.0,65.0,71.0,0.9,0.9,1.0,1.2,1.2,1.6,1.8,1.5,1.2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,82.0,76.0,75.0,74.0,68.0,97.0,104.0,91.0,97.0,88.0,67.0,106.0,199.0,353.0,92.0,189.0,88.0,98.0,2.5,2.3,2.5,3.3,3.1,3.5,3.0,3.0,2.7,0.5,1.1,0.3,0.7,0.7,0.7,0.4,1.0,1.5,38.0
14.0,15.0,16.0,17.0,18.0,18.0,17.0,15.0,15.0,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,0.39,0.37,0.38,0.38,0.4,0.37,0.35,0.32,0.37,0.08,0.12,0.11,0.1,0.13,0.15,0.13,0.1,0.13,1.2,1.6,2.3,2.9,2.9,2.5,1.9,1.8,1.2,7.5,5.8,6.9,7.9,8.9,9.1,9.0,8.9,10.0,8.7,7.4,9.2,11.0,12.0,12.0,11.0,11.0,12.0,30.0,32.0,33.0,35.0,40.0,41.0,39.0,38.0,36.0,26.0,25.0,30.0,25.0,33.0,35.0,53.0,56.0,61.0,2.0,11.0,8.0,21.0,17.0,23.0,18.0,29.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,74.0,70.0,67.0,63.0,62.0,65.0,71.0,74.0,0.9,1.0,1.2,1.2,1.6,1.8,1.5,1.2,1.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,76.0,75.0,74.0,68.0,97.0,104.0,91.0,97.0,93.0,67.0,106.0,199.0,353.0,92.0,189.0,88.0,98.0,41.0,2.3,2.5,3.3,3.1,3.5,3.0,3.0,2.7,2.5,1.1,0.3,0.7,0.7,0.7,0.4,1.0,1.5,0.7,43.0
15.0,16.0,17.0,18.0,18.0,17.0,15.0,15.0,14.0,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,0.37,0.38,0.38,0.4,0.37,0.35,0.32,0.37,0.45,0.12,0.11,0.1,0.13,0.15,0.13,0.1,0.13,0.21,1.6,2.3,2.9,2.9,2.5,1.9,1.8,1.2,1.1,5.8,6.9,7.9,8.9,9.1,9.0,8.9,10.0,12.0,7.4,9.2,11.0,12.0,12.0,11.0,11.0,12.0,14.0,32.0,33.0,35.0,40.0,41.0,39.0,38.0,36.0,32.0,25.0,30.0,25.0,33.0,35.0,53.0,56.0,61.0,61.0,11.0,8.0,21.0,17.0,23.0,18.0,29.0,38.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,70.0,67.0,63.0,62.0,65.0,71.0,74.0,75.0,1.0,1.2,1.2,1.6,1.8,1.5,1.2,1.0,1.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.0,75.0,74.0,68.0,97.0,104.0,91.0,97.0,93.0,24.0,106.0,199.0,353.0,92.0,189.0,88.0,98.0,41.0,44.0,2.5,3.3,3.1,3.5,3.0,3.0,2.7,2.5,1.7,0.3,0.7,0.7,0.7,0.4,1.0,1.5,0.7,0.2,44.0
